2.0, -50, -0.0048, -0.0010, 0.2, 0.0, -0.0010
6.5, -40, -0.0010, -0.0090, 0.2, 0.0, 0.0030
-5.9, -10, -0.0033, -0.0040, -0.1, 0.0, -0.0010
-6.2, -30, -0.0022, -0.011, 0.1, 0.0, -0.0020
-0.2, -40, 0.0059, -0.0050, 0.1, 0.0, 0.0010
-2.0, 10, 0.0051, -0.023, -0.1, 0.0, -0.0010
-5.6, 0, 0.0046, 0.0, -0.1, 0.0, -0.0020
-3.9, -30, -0.0025, 0.0050, 0.0, 0.0, -0.0010
-1.7, -60, 0.0053, 0.013, -0.1, 0.0, 0.0010
-2.9, -60, 0.0024, 0.019, -0.1, 0.0, -0.0010
1.8, -70, -0.0069, -0.0080, 0.1, 0.0, 0.0010
-0.7, -50, 0.0033, -0.02, -0.2, 0.0, -0.0010
-6.1, -70, 6.0E-4, -0.011, -0.1, 0.0, -0.0050
1.0, -80, 0.0023, -0.0070, 0.3, 0.0, 0.0020
6.3, -70, 2.0E-4, -0.0030, 0.1, 0.0, 0.0010
8.3, -40, -0.0032, -0.01, 0.0, 0.0, -0.0010
9.3, -20, -0.0012, -0.014, 0.1, 0.0, 0.0030
-2.2, 10, 0.0010, 0.0020, -0.2, 0.0, -0.0020
-4.6, 0, -0.0021, 0.0, -0.1, 0.0, -0.0010
3.3, -10, 7.0E-4, -0.019, 0.2, 0.0, 0.0020
-2.1, 10, -0.0028, 0.0070, -0.1, -0.01, -0.0020
1.7, 0, 0.0028, 0.0040, 0.1, 0.0, 0.0010
-3.9, 0, -0.0019, 0.017, -0.2, 0.0, -0.0010
-5.4, -10, -0.0037, 0.012, 0.0, 0.0, -0.0020
-5.4, -10, -0.0050, 0.0060, 0.1, 0.0, -0.0020
3.3, -20, 0.0014, -0.0020, 0.3, 0.0, 0.0020
6.4, -10, 0.0047, 0.0050, 0.1, 0.01, 0.0020
5.3, 0, 0.0060, 0.015, -0.2, 0.02, 0.0010
-5.5, 0, -0.0035, 0.021, -0.2, 0.0, -0.0030
-7.1, -20, -0.0061, 0.0050, 0.0, 0.0, -0.0010
2.3, -40, 0.0040, -0.0070, 0.1, 0.0, 0.0010
-1.9, -30, 0.0055, -0.013, 0.0, 0.0, -0.0010
-1.2, -40, 0.0051, 0.01, -0.1, 0.01, -0.0010
-1.3, -40, 0.0029, 0.017, 0.0, -0.01, 0.0010
-0.4, -50, -0.0065, 0.0070, 0.1, -0.01, 0.0010
4.9, -20, 0.0053, -0.0020, 0.0, 0.0, 0.0010
-3.0, -10, -0.0056, 0.0070, -0.2, 0.0, -0.0030
-1.5, -10, -0.0064, -0.013, 0.2, 0.0, -0.0010
5.5, -10, -0.0014, -0.022, 0.3, 0.0, 0.0020
9.2, 10, 0.0038, -0.018, 0.0, 0.01, 0.0010
-4.4, 40, -0.0088, -0.0090, -0.1, 0.0, -0.0020
4.6, 40, 0.0086, -0.0080, 0.1, 0.0, 0.0010
-4.6, 10, 0.0036, -0.0030, -0.1, 0.0, -0.0010
7.7, 20, 0.0043, -0.0070, 0.1, 0.0, 0.0010
-8.9, 10, -0.0047, -0.0080, 0.0, 0.0, -0.0010
-1.2, -30, 0.0063, 0.014, 0.1, 0.0, 0.0010
-2.5, -40, 0.0019, 0.027, -0.1, 0.0, 0.0010
-4.0, -50, -0.0052, 0.023, 0.0, -0.01, -0.0010
-3.4, -60, -0.0071, 0.0090, 0.0, 0.01, -0.0010
6.2, -50, 2.0E-4, -0.014, 0.2, 0.0, 0.0010
8.8, -30, 0.0036, -0.01, 0.1, 0.0, 0.0010
6.4, 10, -1.0E-4, 0.0040, -0.1, 0.0, 0.0010
1.8, 20, 7.0E-4, -0.017, 0.1, 0.0, 0.0010
-5.2, 10, -0.0033, 0.0010, 0.0, 0.0, -0.0010
1.4, -10, 0.0039, 0.01, 0.1, 0.0, 0.0010
-1.7, -10, -0.0029, 0.015, -0.1, 0.0, -0.0010
6.0, 10, 0.0057, -0.0010, 0.1, 0.0, 0.0010
5.4, 20, 0.0047, 0.01, -0.1, 0.0, 0.0010
-0.3, 30, -0.0078, 0.0020, -0.1, 0.0, -0.0020
5.3, 50, 0.0072, -0.011, 0.1, 0.0, 0.0010
